2021-03-11 13:59:29.845 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	245	main	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-03-11 13:59:29.862 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	174	main	Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6e15fe2, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@68f1b17f, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1722011b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57ad2aa7, org.springframework.test.context.event.EventPublishingTestExecutionListener@5b3f61ff]
2021-03-11 15:15:06.091 +0800	WARN 	org.springframework.context.support.AbstractApplicationContext	590	main	Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'stu2' defined in class path resource [studentBeans.xml]: Initialization of bean failed; nested exception is org.springframework.beans.ConversionNotSupportedException: Failed to convert property value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone'; nested exception is java.lang.IllegalStateException: Cannot convert value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone': no matching editors or conversion strategy found
2021-03-11 15:15:40.869 +0800	WARN 	org.springframework.context.support.AbstractApplicationContext	590	main	Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'stu2' defined in class path resource [studentBeans.xml]: Initialization of bean failed; nested exception is org.springframework.beans.ConversionNotSupportedException: Failed to convert property value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone'; nested exception is java.lang.IllegalStateException: Cannot convert value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone': no matching editors or conversion strategy found
2021-03-11 15:16:01.935 +0800	WARN 	org.springframework.context.support.AbstractApplicationContext	590	main	Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'stu2' defined in class path resource [studentBeans.xml]: Initialization of bean failed; nested exception is org.springframework.beans.ConversionNotSupportedException: Failed to convert property value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone'; nested exception is java.lang.IllegalStateException: Cannot convert value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone': no matching editors or conversion strategy found
2021-03-11 15:18:10.545 +0800	WARN 	org.springframework.context.support.AbstractApplicationContext	590	main	Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'stu2' defined in class path resource [studentBeans.xml]: Initialization of bean failed; nested exception is org.springframework.beans.ConversionNotSupportedException: Failed to convert property value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone'; nested exception is java.lang.IllegalStateException: Cannot convert value of type 'java.util.ArrayList' to required type 'com.chuhelan.domain.Phone' for property 'phone': no matching editors or conversion strategy found
2021-03-11 20:21:35.648 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	245	main	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-03-11 20:21:35.662 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	174	main	Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@518caac3, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@68034211, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4f74980d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6c372fe6, org.springframework.test.context.event.EventPublishingTestExecutionListener@58594a11]
2021-03-11 20:21:46.092 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	245	main	Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-03-11 20:21:46.104 +0800	INFO 	org.springframework.test.context.support.AbstractTestContextBootstrapper	174	main	Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@16aa8654, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6d7fc27, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@45ac5f9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@135606db, org.springframework.test.context.event.EventPublishingTestExecutionListener@518caac3]
